DeviceName,DeviceDateTime,BatteryStatus,CommId,GPS Confidence,GPS Fail Counter,GpsQuality,Latitude,Longitude
0-4351296,2023-03-10 08:44:45,GOOD,0-4351296,0,0,3,48.357879,-4.560442
0-4351902,2023-03-10 08:40:55,GOOD,0-4351902,0,0,3,48.358125,-4.560742
0-4351296,2023-03-10 08:39:44,GOOD,0-4351296,0,0,3,48.357889,-4.56042
0-4351902,2023-03-10 08:35:55,GOOD,0-4351902,0,0,3,48.358083,-4.560721
0-4351296,2023-03-10 08:34:48,GOOD,0-4351296,0,0,3,48.357911,-4.56042
0-4351902,2023-03-10 08:30:59,GOOD,0-4351902,0,0,3,48.358115,-4.560678
0-4351296,2023-03-10 08:29:52,GOOD,0-4351296,0,0,3,48.357911,-4.56042
0-4351902,2023-03-10 08:25:54,GOOD,0-4351902,0,0,3,48.357997,-4.560785
0-4351296,2023-03-10 08:24:48,GOOD,0-4351296,0,0,3,48.357932,-4.560463
0-4351902,2023-03-10 08:20:58,GOOD,0-4351902,0,0,3,48.358072,-4.560635
0-4351296,2023-03-10 08:19:46,GOOD,0-4351296,0,0,3,48.3579,-4.560442
0-4351902,2023-03-10 08:15:55,GOOD,0-4351902,0,0,3,48.358029,-4.560678
0-4351296,2023-03-10 08:14:46,GOOD,0-4351296,0,0,3,48.357911,-4.560485
0-4351902,2023-03-10 08:10:56,GOOD,0-4351902,0,0,3,48.357846,-4.56085
0-4351296,2023-03-10 08:09:52,GOOD,0-4351296,0,0,3,48.357889,-4.56042
0-4351902,2023-03-10 08:05:57,GOOD,0-4351902,0,0,3,48.357911,-4.560742
0-4351296,2023-03-10 08:04:52,GOOD,0-4351296,0,0,3,48.357932,-4.560463
0-4351902,2023-03-10 08:00:56,GOOD,0-4351902,0,0,3,48.357846,-4.560764
0-4351296,2023-03-10 08:00:32,GOOD,0-4351296,0,0,3,48.357911,-4.560463
0-4351902,2023-03-10 07:55:54,GOOD,0-4351902,0,0,3,48.357975,-4.560592
0-4351296,2023-03-10 07:54:47,GOOD,0-4351296,0,0,3,48.357932,-4.560227
0-4351902,2023-03-10 07:50:55,GOOD,0-4351902,0,0,3,48.357986,-4.560485
0-4351296,2023-03-10 07:49:47,GOOD,0-4351296,0,0,3,48.357964,-4.560206
0-4351902,2023-03-10 07:45:55,GOOD,0-4351902,0,0,3,48.357997,-4.560506
0-4351296,2023-03-10 07:44:47,GOOD,0-4351296,0,0,3,48.357986,-4.560163
0-4351902,2023-03-10 07:40:53,GOOD,0-4351902,0,0,3,48.35805,-4.560485
0-4351296,2023-03-10 07:39:47,GOOD,0-4351296,0,0,3,48.358007,-4.56012
0-4351902,2023-03-10 07:35:54,GOOD,0-4351902,0,0,3,48.358007,-4.560442
0-4351296,2023-03-10 07:34:46,GOOD,0-4351296,0,0,3,48.358061,-4.560099
0-4351902,2023-03-10 07:30:57,GOOD,0-4351902,0,0,3,48.357943,-4.56042
0-4351296,2023-03-10 07:29:50,GOOD,0-4351296,0,0,3,48.35804,-4.560056
0-4351902,2023-03-10 07:25:54,GOOD,0-4351902,0,0,3,48.357739,-4.56042
0-4351296,2023-03-10 07:24:50,GOOD,0-4351296,0,0,3,48.357879,-4.560184
0-4351902,2023-03-10 07:20:55,GOOD,0-4351902,0,0,3,48.357707,-4.560378
0-4351296,2023-03-10 07:19:46,GOOD,0-4351296,0,0,3,48.357857,-4.560142
0-4351902,2023-03-10 07:15:53,GOOD,0-4351902,0,0,3,48.357686,-4.560313
0-4351296,2023-03-10 07:14:46,GOOD,0-4351296,0,0,3,48.357857,-4.560142
0-4351902,2023-03-10 07:10:53,GOOD,0-4351902,0,0,3,48.357632,-4.560313
0-4351296,2023-03-10 07:09:45,GOOD,0-4351296,0,0,3,48.357879,-4.560163
0-4351902,2023-03-10 07:05:53,GOOD,0-4351902,0,0,3,48.357621,-4.560249
0-4351296,2023-03-10 07:04:46,GOOD,0-4351296,0,0,3,48.357814,-4.560163
0-4351902,2023-03-10 07:00:54,GOOD,0-4351902,0,0,3,48.357621,-4.560227
0-4351296,2023-03-10 06:59:47,GOOD,0-4351296,0,0,3,48.357836,-4.560184
0-4351902,2023-03-10 06:55:55,GOOD,0-4351902,0,0,3,48.357664,-4.560184
0-4351296,2023-03-10 06:54:47,GOOD,0-4351296,0,0,3,48.357868,-4.560206
0-4351902,2023-03-10 06:50:56,GOOD,0-4351902,0,0,3,48.357643,-4.560034
0-4351296,2023-03-10 06:49:50,GOOD,0-4351296,0,0,3,48.357825,-4.560163
0-4351902,2023-03-10 06:45:55,GOOD,0-4351902,0,0,3,48.357675,-4.560206
0-4351296,2023-03-10 06:44:48,GOOD,0-4351296,0,0,3,48.357814,-4.560227
0-4351902,2023-03-10 06:40:54,GOOD,0-4351902,0,0,3,48.357675,-4.560206
0-4351296,2023-03-10 06:39:49,GOOD,0-4351296,0,0,3,48.357932,-4.560399
0-4351902,2023-03-10 06:35:55,GOOD,0-4351902,0,0,3,48.35775,-4.560249
0-4351296,2023-03-10 06:34:49,GOOD,0-4351296,0,0,3,48.357911,-4.560356
0-4351902,2023-03-10 06:30:55,GOOD,0-4351902,0,0,3,48.357739,-4.56027
0-4351296,2023-03-10 06:29:46,GOOD,0-4351296,0,0,3,48.357954,-4.560463
0-4351902,2023-03-10 06:25:55,GOOD,0-4351902,0,0,3,48.357718,-4.560206
0-4351296,2023-03-10 06:24:50,GOOD,0-4351296,0,0,3,48.357836,-4.560442
0-4351902,2023-03-10 06:20:59,GOOD,0-4351902,0,0,3,48.357718,-4.56042
0-4351296,2023-03-10 06:19:47,GOOD,0-4351296,0,0,3,48.357814,-4.560378
0-4351902,2023-03-10 06:15:55,GOOD,0-4351902,0,0,3,48.357761,-4.560528
0-4351296,2023-03-10 06:14:47,GOOD,0-4351296,0,0,3,48.35775,-4.560227
0-4351902,2023-03-10 06:10:58,GOOD,0-4351902,0,0,3,48.357761,-4.560378
0-4351296,2023-03-10 06:09:50,GOOD,0-4351296,0,0,3,48.357739,-4.560227
0-4351902,2023-03-10 06:05:55,GOOD,0-4351902,0,0,3,48.357728,-4.560528
0-4351296,2023-03-10 06:04:45,GOOD,0-4351296,0,0,3,48.357782,-4.560335
0-4351902,2023-03-10 06:00:59,GOOD,0-4351902,0,0,3,48.35775,-4.560549
0-4351296,2023-03-10 05:59:47,GOOD,0-4351296,0,0,3,48.357793,-4.560378
0-4351902,2023-03-10 05:55:53,GOOD,0-4351902,0,0,3,48.357836,-4.56042
0-4351296,2023-03-10 05:54:49,GOOD,0-4351296,0,0,3,48.357868,-4.560442
0-4351902,2023-03-10 05:50:52,GOOD,0-4351902,0,0,3,48.357836,-4.560399
