id,dt
0-4351296,15.0
0-4351296,299.0
0-4351296,301.0
0-4351296,1810.0
0-4351296,589.0
0-4351296,1800.0
0-4351296,599.0
0-4351296,301.0
0-4351296,1503.0
0-4351296,1756.0
0-4351296,9.0
0-4351296,1332.0
0-4351296,499.0
0-4351296,301.0
0-4351296,1501.0
0-4351296,300.0
0-4351296,311.0
0-4351296,299.0
0-4351296,1494.0
0-4351296,596.0
0-4351296,298.0
0-4351296,302.0
0-4351296,302.0
0-4351296,899.0
0-4351296,1483.0
0-4351296,22.0
0-4351296,1552.0
0-4351296,263.0
0-4351296,589.0
0-4351296,1488.0
0-4351296,600.0
0-4351296,300.0
0-4351296,301.0
0-4351296,2099.0
0-4351296,1501.0
0-4351296,901.0
0-4351296,601.0
0-4351296,887.0
0-4351296,612.0
0-4351296,298.0
0-4351296,301.0
0-4351296,905.0
0-4351296,1194.0
0-4351296,304.0
0-4351296,297.0
0-4351296,2089.0
0-4351296,1811.0
0-4351296,1201.0
0-4351296,2085.0
0-4351296,318.0
0-4351296,2082.0
0-4351296,600.0
0-4351296,13.0
0-4351296,1800.0
0-4351296,602.0
0-4351296,1802.0
0-4351296,597.0
0-4351296,600.0
0-4351296,1800.0
0-4351296,586.0
0-4351296,14.0
0-4351296,1786.0
0-4351296,14.0
0-4351296,586.0
0-4351296,15.0
0-4351296,1799.0
0-4351296,586.0
0-4351296,1813.0
0-4351296,300.0
0-4351296,302.0
0-4351296,598.0
0-4351296,1800.0
0-4351296,1500.0
0-4351296,1500.0
0-4351296,301.0
0-4351296,601.0
0-4351296,898.0
0-4351296,601.0
0-4351296,301.0
0-4351296,585.0
0-4351296,17.0
0-4351296,3583.0
0-4351296,14.0
0-4351296,1501.0
0-4351296,899.0
0-4351296,600.0
0-4351296,300.0
0-4351296,300.0
0-4351296,1198.0
0-4351296,299.0
0-4351296,300.0
0-4351296,301.0
0-4351296,304.0
0-4351296,297.0
0-4351296,299.0
0-4351296,299.0
0-4351296,304.0
0-4351296,297.0
0-4351296,301.0
0-4351296,298.0
0-4351296,301.0
0-4351296,300.0
0-4351296,302.0
0-4351296,297.0
0-4351296,601.0
0-4351296,299.0
0-4351296,301.0
0-4351296,300.0
0-4351296,1503.0
0-4351296,585.0
0-4351296,16.0
0-4351296,599.0
0-4351296,603.0
0-4351296,1797.0
0-4351296,596.0
0-4351296,303.0
0-4351296,298.0
0-4351296,302.0
0-4351296,299.0
0-4351296,1204.0
0-4351296,1498.0
0-4351296,300.0
0-4351296,601.0
0-4351296,1205.0
0-4351296,892.0
0-4351296,302.0
0-4351296,9735.0
0-4351296,163.0
0-4351296,302.0
0-4351296,296.0
0-4351296,330.0
0-4351296,270.0
0-4351296,303.0
0-4351296,297.0
0-4351296,301.0
0-4351296,298.0
0-4351296,301.0
0-4351296,4500.0
0-4351296,300.0
0-4351296,2315.0
0-4351296,88.0
0-4351296,299.0
0-4351296,300.0
0-4351296,298.0
0-4351296,301.0
0-4351296,299.0
0-4351296,302.0
0-4351296,300.0
0-4351296,298.0
0-4351296,302.0
0-4351296,298.0
0-4351296,301.0
0-4351296,301.0
0-4351296,299.0
0-4351296,299.0
0-4351296,3635.0
0-4351296,265.0
0-4351296,301.0
0-4351296,299.0
0-4351296,300.0
0-4351296,304.0
0-4351296,297.0
0-4351296,299.0
0-4351296,301.0
0-4351296,300.0
0-4351296,302.0
0-4351296,298.0
0-4351296,300.0
0-4351296,299.0
0-4351296,300.0
0-4351296,300.0
0-4351296,303.0
0-4351296,300.0
0-4351296,297.0
0-4351296,300.0
0-4351296,300.0
0-4351296,302.0
0-4351296,298.0
0-4351296,2701.0
0-4351296,18073.0
0-4351296,227.0
0-4351296,300.0
0-4351296,301.0
0-4351296,299.0
0-4351296,302.0
0-4351296,299.0
0-4351296,300.0
0-4351296,16081.0
0-4351296,117.0
0-4351296,3901.0
0-4351296,11735.0
0-4351296,264.0
0-4351296,2476.0
0-4351296,230.0
0-4351296,296.0
0-4351296,1226.0
0-4351296,275.0
0-4351296,300.0
0-4351296,297.0
0-4351296,301.0
0-4351296,299.0
0-4351296,303.0
0-4351296,300.0
0-4351296,1622.0
0-4351296,177.0
0-4351296,299.0
0-4351296,14743.0
0-4351296,257.0
0-4351296,299.0
0-4351296,302.0
0-4351296,297.0
0-4351296,302.0
0-4351296,298.0
0-4351296,300.0
0-4351296,62918.0
0-4351296,382.0
0-4351296,298.0
0-4351296,300.0
0-4351296,303.0
0-4351296,987.0
0-4351296,2288.0
0-4351296,80.0
0-4351296,301.0
0-4351296,305.0
0-4351296,10985.0
0-4351296,112.0
0-4351296,3039.0
0-4351296,2068.0
0-4351296,3632.0
0-4351296,13654.0
0-4351296,110.0
0-4351296,297.0
0-4351296,300.0
0-4351296,6459.0
0-4351296,142.0
0-4351296,304.0
0-4351296,299.0
0-4351296,295.0
0-4351296,2437.0
0-4351296,264.0
0-4351296,299.0
0-4351296,303.0
0-4351296,2745.0
0-4351296,438.0
0-4351296,1315.0
0-4351296,5699.0
0-4351296,300.0
0-4351296,301.0
0-4351296,4656.0
0-4351296,6485.0
0-4351296,258.0
0-4351296,302.0
0-4351296,297.0
0-4351296,1700.0
0-4351296,101.0
0-4351296,1717.0
0-4351296,81.0
0-4351296,3903.0
0-4351296,886.0
0-4351296,14.0
0-4351296,299.0
0-4351296,937.0
0-4351296,297.0
0-4351296,2104.0
0-4351296,3749.0
0-4351296,114.0
0-4351296,303.0
0-4351296,294.0
0-4351296,301.0
0-4351296,300.0
0-4351296,302.0
0-4351296,304.0
0-4351296,296.0
0-4351296,299.0
0-4351296,6699.0
0-4351296,202.0
0-4351296,299.0
0-4351296,4243.0
0-4351296,258.0
0-4351296,4386.0
0-4351296,114.0
0-4351296,9725.0
0-4351296,172.0
0-4351296,301.0
0-4351296,303.0
0-4351296,297.0
0-4351296,300.0
0-4351296,6340.0
0-4351296,261.0
0-4351296,301.0
0-4351296,298.0
0-4351296,300.0
0-4351296,300.0
0-4351296,300.0
0-4351296,300.0
0-4351296,302.0
0-4351296,1599.0
0-4351296,199.0
0-4351296,302.0
0-4351296,7798.0
0-4351296,303.0
0-4351296,300.0
0-4351296,296.0
0-4351296,301.0
0-4351296,299.0
0-4351296,27069.0
0-4351902,228.0
0-4351902,649.0
0-4351902,180.0
0-4351902,112.0
0-4351902,261.0
0-4351902,301.0
0-4351902,301.0
0-4351902,297.0
0-4351902,300.0
0-4351902,301.0
0-4351902,301.0
0-4351902,301.0
0-4351902,297.0
0-4351902,301.0
0-4351902,299.0
0-4351902,305.0
0-4351902,298.0
0-4351902,298.0
0-4351902,300.0
0-4351902,300.0
0-4351902,300.0
0-4351902,300.0
0-4351902,301.0
0-4351902,310.0
0-4351902,300.0
0-4351902,287.0
0-4351902,313.0
0-4351902,325.0
0-4351902,265.0
0-4351902,299.0
0-4351902,304.0
