,dt
1,289.0
2,271.0
3,599.0
4,309.0
5,293.0
6,300.0
7,300.0
8,301.0
9,601.0
10,300.0
11,325.0
12,276.0
13,300.0
14,299.0
15,301.0
16,308.0
17,301.0
18,292.0
19,301.0
20,306.0
21,295.0
22,307.0
23,326.0
24,279.0
25,288.0
26,302.0
27,310.0
28,291.0
29,299.0
30,302.0
31,308.0
32,292.0
33,301.0
34,300.0
35,328.0
36,272.0
37,300.0
38,301.0
39,299.0
40,301.0
41,301.0
42,600.0
43,302.0
44,300.0
45,900.0
46,300.0
47,301.0
48,300.0
49,302.0
50,300.0
51,300.0
52,308.0
53,301.0
54,293.0
55,299.0
56,320.0
57,288.0
58,294.0
59,300.0
60,300.0
61,308.0
62,300.0
63,301.0
64,299.0
65,293.0
66,601.0
67,340.0
68,261.0
69,301.0
70,299.0
71,302.0
72,300.0
73,599.0
74,302.0
75,300.0
76,300.0
77,301.0
78,330.0
79,271.0
80,299.0
81,301.0
82,300.0
83,301.0
84,602.0
85,300.0
86,300.0
87,300.0
88,300.0
89,326.0
90,275.0
91,300.0
92,308.0
93,297.0
94,294.0
95,303.0
96,307.0
97,593.0
98,299.0
99,303.0
100,600.0
101,299.0
102,902.0
103,301.0
104,300.0
105,601.0
106,308.0
107,294.0
108,326.0
109,274.0
110,307.0
111,300.0
112,294.0
113,300.0
114,600.0
115,308.0
116,294.0
117,300.0
118,300.0
119,323.0
120,277.0
121,609.0
122,291.0
123,301.0
124,302.0
125,299.0
126,301.0
127,302.0
128,599.0
129,336.0
130,264.0
131,601.0
132,300.0
133,302.0
134,607.0
135,300.0
136,294.0
137,299.0
138,300.0
139,334.0
140,268.0
141,309.0
142,291.0
143,301.0
144,309.0
145,291.0
146,301.0
147,300.0
148,301.0
149,311.0
150,290.0
151,599.0
152,301.0
153,300.0
154,301.0
155,601.0
156,300.0
157,309.0
158,293.0
159,300.0
160,300.0
161,331.0
162,270.0
163,300.0
164,299.0
165,588.0
166,314.0
167,307.0
168,293.0
169,301.0
170,300.0
171,300.0
172,334.0
173,869.0
174,313.0
175,295.0
176,292.0
177,313.0
178,289.0
179,301.0
180,299.0
181,300.0
182,328.0
183,273.0
184,301.0
185,603.0
186,298.0
187,599.0
188,301.0
189,300.0
190,602.0
191,324.0
192,288.0
193,588.0
194,302.0
195,300.0
196,601.0
197,300.0
198,301.0
199,300.0
200,638.0
201,571.0
202,293.0
203,299.0
204,301.0
205,300.0
206,300.0
207,602.0
208,299.0
209,302.0
210,338.0
211,561.0
212,302.0
213,601.0
214,298.0
215,301.0
216,309.0
217,592.0
218,302.0
219,601.0
220,299.0
221,301.0
222,908.0
223,294.0
224,300.0
225,301.0
226,307.0
227,293.0
228,601.0
229,411.0
230,190.0
231,300.0
232,307.0
233,594.0
234,307.0
235,294.0
236,299.0
237,302.0
238,331.0
239,269.0
240,300.0
241,311.0
242,291.0
243,306.0
244,580.0
245,314.0
246,311.0
247,591.0
248,328.0
249,271.0
250,1205.0
251,297.0
252,301.0
253,301.0
254,1224.0
255,278.0
256,299.0
257,300.0
258,302.0
259,299.0
260,301.0
261,310.0
262,299.0
263,300.0
264,293.0
265,299.0
266,602.0
267,307.0
268,293.0
269,902.0
270,299.0
271,602.0
272,300.0
273,308.0
274,893.0
275,300.0
276,602.0
277,299.0
278,302.0
279,600.0
280,389.0
281,212.0
282,330.0
283,270.0
284,308.0
285,293.0
286,300.0
287,301.0
288,308.0
289,299.0
290,294.0
291,301.0
292,299.0
293,301.0
294,326.0
295,273.0
296,302.0
297,600.0
298,301.0
299,300.0
300,601.0
301,300.0
302,934.0
303,267.0
304,901.0
305,301.0
306,587.0
307,322.0
308,292.0
309,601.0
310,601.0
311,601.0
312,314.0
313,287.0
314,600.0
315,606.0
316,303.0
317,293.0
318,324.0
319,578.0
320,300.0
321,600.0
322,300.0
323,302.0
324,906.0
325,302.0
326,900.0
327,299.0
328,904.0
329,296.0
330,895.0
331,634.0
332,572.0
333,306.0
334,296.0
335,898.0
336,306.0
337,299.0
338,304.0
339,298.0
340,593.0
341,902.0
342,310.0
343,298.0
344,602.0
345,300.0
346,594.0
347,328.0
348,270.0
349,902.0
350,300.0
351,907.0
352,302.0
353,594.0
354,332.0
355,268.0
356,310.0
357,592.0
358,609.0
359,291.0
360,300.0
361,302.0
362,301.0
363,299.0
364,600.0
365,309.0
366,293.0
367,299.0
368,308.0
369,597.0
370,298.0
371,901.0
372,324.0
373,579.0
374,299.0
375,901.0
376,908.0
377,300.0
378,307.0
379,316.0
380,876.0
381,302.0
382,300.0
383,595.0
384,305.0
385,301.0
386,301.0
387,627.0
388,266.0
389,301.0
390,902.0
391,301.0
392,601.0
393,300.0
394,886.0
395,314.0
396,901.0
397,312.0
398,898.0
399,295.0
400,306.0
401,296.0
402,596.0
403,304.0
404,297.0
405,301.0
406,300.0
407,299.0
408,301.0
409,912.0
410,291.0
411,333.0
412,270.0
413,599.0
414,302.0
415,300.0
416,307.0
417,293.0
418,354.0
419,847.0
420,327.0
421,580.0
422,300.0
423,293.0
424,602.0
425,299.0
426,302.0
427,300.0
428,311.0
429,303.0
430,310.0
431,276.0
432,300.0
433,310.0
434,292.0
435,301.0
436,300.0
437,601.0
438,300.0
439,310.0
440,291.0
441,600.0
442,300.0
443,601.0
444,301.0
445,300.0
446,713.0
447,196.0
448,293.0
449,632.0
450,269.0
451,299.0
452,602.0
453,299.0
454,311.0
455,299.0
456,293.0
457,300.0
458,602.0
459,327.0
460,272.0
461,299.0
462,301.0
463,902.0
464,300.0
465,300.0
466,308.0
467,594.0
468,326.0
469,574.0
470,301.0
471,307.0
472,594.0
473,306.0
474,294.0
475,602.0
476,307.0
477,893.0
478,301.0
479,300.0
480,601.0
481,301.0
482,300.0
483,308.0
484,292.0
485,301.0
486,328.0
487,272.0
488,309.0
489,293.0
490,300.0
491,307.0
492,294.0
493,300.0
494,601.0
495,301.0
496,639.0
497,261.0
498,300.0
499,610.0
500,291.0
501,301.0
502,601.0
503,299.0
504,302.0
505,619.0
506,281.0
507,300.0
508,602.0
509,299.0
510,309.0
511,300.0
512,293.0
513,300.0
514,301.0
515,299.0
516,335.0
517,266.0
518,301.0
519,299.0
520,302.0
521,300.0
522,310.0
523,290.0
524,301.0
525,601.0
526,299.0
527,329.0
528,272.0
529,610.0
530,292.0
531,608.0
532,294.0
533,299.0
534,602.0
535,299.0
536,326.0
537,583.0
538,292.0
539,301.0
540,301.0
541,299.0
542,301.0
543,301.0
544,600.0
545,301.0
546,332.0
547,268.0
548,301.0
549,300.0
550,311.0
551,289.0
552,301.0
553,601.0
554,308.0
555,387.0
556,535.0
557,271.0
558,300.0
559,602.0
