,dt
11607,720.0
11608,540.0
11609,720.0
11610,660.0
11611,660.0
11612,660.0
11613,720.0
11614,360.0
11615,720.0
11616,660.0
11617,480.0
11618,660.0
11619,720.0
11620,360.0
11621,660.0
11622,720.0
11623,480.0
11624,660.0
11625,720.0
11626,360.0
11627,660.0
11628,720.0
11629,480.0
11630,660.0
11631,720.0
11632,360.0
11633,660.0
11634,720.0
11635,900.0
11636,660.0
11637,720.0
11638,600.0
11639,660.0
11640,720.0
11641,240.0
11642,660.0
11643,720.0
11644,360.0
11645,660.0
11646,720.0
11647,660.0
11648,660.0
11649,720.0
11650,780.0
11651,720.0
11652,660.0
11653,660.0
11654,660.0
11655,720.0
11656,780.0
11657,720.0
11658,660.0
11659,420.0
11660,720.0
11661,720.0
11662,360.0
11663,660.0
11664,720.0
11665,420.0
11666,720.0
11667,720.0
11668,1020.0
11669,660.0
11670,720.0
11671,660.0
11672,660.0
11673,720.0
11674,360.0
11675,660.0
11676,720.0
11677,1320.0
11678,660.0
11679,720.0
11680,600.0
11681,660.0
11682,720.0
11683,420.0
11684,720.0
11685,660.0
11686,360.0
11687,720.0
11688,660.0
11689,480.0
11690,720.0
11691,660.0
11692,600.0
11693,660.0
11694,720.0
11695,240.0
11696,720.0
11697,660.0
11698,360.0
11699,720.0
11700,720.0
11701,420.0
11702,720.0
11703,660.0
11704,360.0
11705,720.0
11706,720.0
11707,840.0
11708,660.0
11709,720.0
11710,360.0
11711,720.0
11712,660.0
11713,480.0
11714,660.0
11715,720.0
11716,600.0
11717,660.0
11718,720.0
11719,240.0
11720,660.0
11721,720.0
11722,600.0
11723,720.0
11724,660.0
11725,420.0
11726,720.0
11727,720.0
11728,300.0
11729,720.0
11730,720.0
11731,420.0
11732,720.0
11733,720.0
11734,540.0
11735,720.0
11736,720.0
11737,180.0
11738,720.0
11739,720.0
11740,360.0
11741,660.0
11742,720.0
11743,420.0
11744,720.0
11745,720.0
11746,360.0
11747,660.0
11748,720.0
11749,420.0
11750,720.0
11751,720.0
11752,360.0
11753,660.0
11754,720.0
11755,420.0
11756,720.0
11757,720.0
11758,360.0
11759,660.0
11760,720.0
11761,420.0
11762,720.0
11763,720.0
11764,540.0
11765,720.0
11766,720.0
11767,180.0
11768,720.0
11769,720.0
11770,540.0
11771,720.0
11772,660.0
11773,240.0
11774,720.0
11775,720.0
11776,360.0
11777,660.0
11778,720.0
11779,420.0
11780,720.0
11781,720.0
11782,360.0
11783,660.0
11784,720.0
11785,480.0
11786,660.0
11787,720.0
11788,360.0
11789,660.0
11790,720.0
11791,480.0
11792,660.0
11793,720.0
11794,360.0
11795,660.0
11796,720.0
11797,480.0
11798,660.0
11799,720.0
11800,360.0
11801,660.0
11802,720.0
11803,480.0
11804,660.0
11805,720.0
11806,360.0
11807,660.0
