,dt
1,1799.999993344
2,1800.000003328
3,1800.000003328
4,1799.999993344
5,1800.000003328
6,1800.000003328
7,1799.999993344
8,1800.000003328
9,1800.000003328
10,1799.999993344
11,1800.000003328
12,1800.000003328
13,1799.999993344
14,1800.000003328
15,1800.000003328
16,1799.999993344
17,1800.000003328
18,1800.000003328
19,1799.999993344
20,1800.000003328
21,1800.000003328
22,1799.999993344
23,1800.000003328
24,1800.000003328
25,1799.999993344
26,1800.000003328
27,1800.000003328
28,1799.999993344
29,1800.000003328
30,1800.000003328
31,1799.999993344
32,1800.000003328
33,1800.000003328
34,1799.999993344
35,1800.000003328
36,1800.000003328
37,1799.999993344
38,1800.000003328
39,1800.000003328
40,1799.999993344
41,1800.000003328
42,1800.000003328
43,1799.999993344
44,1800.000003328
45,1800.000003328
46,1799.999993344
47,1800.000003328
48,1800.000003328
49,1799.999993344
50,1800.000003328
51,1800.000003328
52,1799.999993344
53,1800.000003328
54,1800.000003328
55,1799.999993344
56,1800.000003328
57,1800.000003328
58,1799.999993344
59,1800.000003328
60,1800.000003328
61,1799.999993344
62,1800.000003328
63,1800.000003328
64,1799.999993344
65,1800.000003328
66,1800.000003328
67,1799.999993344
68,1800.000003328
69,1800.000003328
70,1799.999993344
71,1800.000003328
72,1800.000003328
73,1799.999993344
74,1800.000003328
75,1800.000003328
76,1799.999993344
77,1800.000003328
78,1800.000003328
79,1799.999993344
80,1800.000003328
81,1800.000003328
82,1799.999993344
83,1800.000003328
84,1800.000003328
85,1799.999993344
86,1800.000003328
87,1800.000003328
88,1799.999993344
89,1800.000003328
90,1800.000003328
91,1799.999993344
92,1800.000003328
93,1800.000003328
94,1799.999993344
95,1800.000003328
96,1800.000003328
97,1799.999993344
98,1800.000003328
99,1800.000003328
100,1799.999993344
101,1800.000003328
102,1800.000003328
103,1799.999993344
104,1800.000003328
105,1800.000003328
106,1799.999993344
107,1800.000003328
108,1800.000003328
109,1799.999993344
110,1800.000003328
111,1800.000003328
112,1799.999993344
113,1800.000003328
114,1800.000003328
115,1799.999993344
116,1800.000003328
117,1800.000003328
118,1799.999993344
119,1800.000003328
120,1800.000003328
121,1799.999993344
122,1800.000003328
123,1800.000003328
124,1799.999993344
125,1800.000003328
126,1800.000003328
127,1799.999993344
128,1800.000003328
129,1800.000003328
130,1799.999993344
131,1800.000003328
132,1800.000003328
133,1799.999993344
134,1800.000003328
135,1800.000003328
136,1799.999993344
137,1800.000003328
138,1800.000003328
139,1799.999993344
140,1800.000003328
141,1800.000003328
142,1799.999993344
143,1800.000003328
144,1800.000003328
145,1799.999993344
146,1800.000003328
147,1800.000003328
148,1799.999993344
149,1800.000003328
150,1800.000003328
151,1799.999993344
152,1800.000003328
153,1800.000003328
154,1799.999993344
155,1800.000003328
156,1800.000003328
157,1799.999993344
158,1800.000003328
159,1800.000003328
160,1799.999993344
161,1800.000003328
162,1800.000003328
163,1799.999993344
