,dt
2700,3600.0
2701,3600.0
2702,3600.0
2703,3600.0
2704,3600.0
2705,3600.0
2706,3600.0
2707,3600.0
2708,3600.0
2709,3600.0
2710,3600.0
2711,3600.0
2712,3600.0
2713,3600.0
2714,3600.0
2715,3600.0
2716,3600.0
2717,3600.0
2718,3600.0
2719,3600.0
2720,3600.0
2721,3600.0
2722,3600.0
2723,3600.0
2724,3600.0
2725,3600.0
2726,3600.0
2727,3600.0
2728,3600.0
2729,3600.0
2730,3600.0
2731,3600.0
2732,3600.0
2733,3600.0
2734,3600.0
2735,3600.0
2736,3600.0
2737,3600.0
2738,3600.0
2739,3600.0
2740,3600.0
2741,3600.0
2742,3600.0
2743,3660.0
2744,3540.0
2745,3660.0
2746,3600.0
2747,3540.0
2748,3600.0
2749,3600.0
2750,3600.0
2751,3600.0
2752,3600.0
2753,3600.0
2754,3600.0
2755,3600.0
2756,3600.0
2757,3600.0
2758,3600.0
2759,3600.0
2760,3600.0
2761,3600.0
2762,3600.0
2763,7200.0
2764,3600.0
2765,3600.0
2766,3600.0
2767,3600.0
2768,3600.0
2769,3600.0
2770,3600.0
2771,3600.0
2772,3600.0
2773,3600.0
2774,3600.0
2775,3600.0
2776,3600.0
2777,3600.0
2778,3600.0
2779,3600.0
2780,3600.0
2781,3600.0
2782,3600.0
2783,3600.0
2784,3600.0
2785,3600.0
2786,3600.0
2787,3600.0
2788,3600.0
2789,3600.0
2790,3600.0
2791,3600.0
2792,3600.0
2793,3600.0
2794,3600.0
2795,3600.0
2796,3600.0
2797,3600.0
2798,3600.0
2799,3600.0
2800,3600.0
2801,3600.0
2802,3600.0
2803,3600.0
2804,3600.0
2805,3600.0
2806,3600.0
2807,3600.0
2808,3600.0
2809,3600.0
2810,3600.0
2811,3600.0
2812,3600.0
2813,3600.0
2814,3600.0
2815,3600.0
2816,3600.0
2817,3600.0
2818,3600.0
2819,3600.0
2820,3600.0
2821,3600.0
2822,3600.0
2823,3600.0
2824,3600.0
2825,3600.0
2826,3600.0
2827,3600.0
2828,3600.0
2829,3600.0
2830,3600.0
2831,3600.0
2832,3600.0
2833,3600.0
2834,3600.0
2835,3600.0
2836,3600.0
2837,3600.0
2838,3600.0
2839,3600.0
2840,3660.0
2841,3540.0
2842,3600.0
2843,3600.0
2844,7200.0
2845,3600.0
2846,3600.0
2847,3600.0
2848,3600.0
2849,3660.0
2850,3540.0
2851,3600.0
2852,3600.0
2853,3600.0
2854,3600.0
2855,3600.0
2856,3600.0
2857,3600.0
2858,3600.0
2859,3600.0
2860,3600.0
2861,3600.0
2862,3600.0
2863,3660.0
2864,3540.0
2865,3600.0
2866,3600.0
2867,3600.0
2868,3600.0
2869,3600.0
2870,3600.0
2871,3600.0
2872,3600.0
