,dt
3660,3600.0
3661,3600.0
3662,3600.0
3663,3600.0
3664,3600.0
3665,3600.0
3666,3600.0
3667,3600.0
3668,3600.0
3669,3600.0
3670,3600.0
3671,3600.0
3672,3600.0
3673,3600.0
3674,3600.0
3675,3600.0
3676,3600.0
3677,3600.0
3678,3600.0
3679,3600.0
3680,3600.0
3681,3600.0
3682,3600.0
3683,3600.0
3684,3600.0
3685,3600.0
3686,3600.0
3687,3600.0
3688,3600.0
3689,3600.0
3690,3600.0
3691,3600.0
3692,3600.0
3693,3600.0
3694,3600.0
3695,3600.0
3696,3600.0
3697,3600.0
3698,3600.0
3699,3600.0
3700,3600.0
3701,3600.0
3702,3600.0
3703,3600.0
3704,3600.0
3705,3600.0
3706,3600.0
3707,3600.0
3708,3600.0
3709,3600.0
3710,3600.0
3711,3600.0
3712,3600.0
3713,3600.0
3714,3600.0
3715,3600.0
3716,3600.0
3717,3600.0
3718,3600.0
3719,3600.0
3720,3600.0
3721,3600.0
3722,3600.0
3723,3600.0
3724,3600.0
3725,3600.0
3726,3600.0
3727,3600.0
3728,3600.0
3729,3600.0
3730,3600.0
3731,7200.0
3732,3600.0
3733,3600.0
3734,3600.0
3735,3600.0
3736,3600.0
3737,3600.0
3738,3600.0
3739,3600.0
3740,3600.0
3741,3600.0
3742,3600.0
3743,3600.0
3744,3600.0
3745,3600.0
3746,3600.0
3747,3600.0
3748,3600.0
3749,3600.0
3750,3600.0
3751,3600.0
3752,3600.0
3753,3600.0
3754,3600.0
3755,3600.0
3756,3600.0
3757,3600.0
3758,3600.0
3759,3600.0
3760,3600.0
3761,3600.0
3762,3600.0
3763,3600.0
3764,3600.0
3765,3600.0
3766,3600.0
3767,3600.0
3768,3600.0
3769,3600.0
3770,3600.0
3771,3600.0
3772,3600.0
3773,3600.0
3774,3660.0
3775,3540.0
3776,3600.0
3777,3600.0
3778,3600.0
3779,7200.0
3780,3600.0
3781,3600.0
3782,3600.0
3783,3600.0
3784,3600.0
3785,3600.0
3786,3600.0
3787,7200.0
3788,3600.0
3789,3600.0
3790,3600.0
3791,3600.0
3792,3600.0
3793,3600.0
3794,3600.0
3795,3600.0
3796,3600.0
3797,3600.0
3798,3600.0
3799,3600.0
3800,3600.0
3801,3600.0
3802,3600.0
3803,7200.0
3804,3600.0
3805,7200.0
3806,3600.0
3807,3600.0
3808,3600.0
3809,3600.0
3810,3600.0
3811,3600.0
3812,3600.0
3813,3600.0
3814,3600.0
3815,3600.0
3816,3600.0
3817,3600.0
3818,3600.0
3819,3600.0
3820,3600.0
3821,3600.0
3822,3600.0
3823,3600.0
3824,3600.0
3825,3600.0
3826,3600.0
3827,3600.0
3828,3600.0
3829,3600.0
3830,3600.0
3831,3600.0
3832,3600.0
3833,3600.0
3834,3600.0
3835,3600.0
3836,3600.0
3837,3600.0
3838,3600.0
3839,3600.0
3840,3600.0
3841,3600.0
3842,3600.0
3843,3600.0
3844,3600.0
3845,3600.0
3846,3600.0
3847,3600.0
3848,3600.0
3849,3600.0
3850,3600.0
3851,3600.0
3852,3600.0
3853,3600.0
3854,7200.0
3855,3600.0
3856,3600.0
3857,3600.0
3858,3600.0
3859,3600.0
3860,3600.0
3861,3600.0
3862,3600.0
3863,3600.0
3864,3600.0
3865,3600.0
3866,3600.0
3867,3600.0
3868,3600.0
3869,3600.0
3870,3660.0
3871,3540.0
3872,3600.0
3873,3600.0
3874,3600.0
3875,3660.0
3876,3540.0
3877,3600.0
3878,3600.0
3879,3660.0
3880,3540.0
3881,3600.0
3882,3600.0
3883,3660.0
3884,3540.0
3885,3600.0
3886,3600.0
3887,3600.0
3888,3600.0
3889,3600.0
3890,3600.0
3891,3600.0
3892,3600.0
3893,3600.0
3894,3600.0
3895,3600.0
3896,3600.0
3897,3600.0
3898,3600.0
3899,3600.0
3900,3600.0
3901,3600.0
3902,3600.0
3903,3600.0
3904,3600.0
3905,3600.0
3906,3600.0
3907,3600.0
3908,3600.0
3909,3600.0
3910,3600.0
3911,3600.0
3912,3600.0
3913,3600.0
3914,3600.0
3915,3600.0
3916,3600.0
3917,3600.0
3918,3600.0
3919,3600.0
3920,3600.0
3921,3600.0
3922,3600.0
3923,3600.0
3924,3600.0
3925,3600.0
3926,3600.0
3927,3600.0
3928,3600.0
3929,3600.0
3930,3600.0
3931,3600.0
3932,3600.0
3933,3600.0
3934,3600.0
3935,3600.0
3936,3600.0
3937,3600.0
3938,3600.0
3939,3600.0
3940,3600.0
3941,3600.0
3942,3600.0
3943,3600.0
3944,3600.0
3945,3600.0
3946,3600.0
3947,3600.0
3948,3600.0
3949,3600.0
3950,3600.0
3951,3600.0
3952,3600.0
3953,3600.0
3954,3600.0
3955,3600.0
3956,3600.0
3957,3600.0
3958,3600.0
3959,3600.0
3960,3600.0
3961,3600.0
3962,3600.0
3963,3600.0
3964,3600.0
3965,3600.0
3966,3600.0
3967,3600.0
3968,3600.0
3969,3600.0
3970,3600.0
3971,3600.0
3972,3600.0
3973,3600.0
3974,3600.0
3975,3600.0
3976,3600.0
3977,3600.0
3978,3600.0
3979,3600.0
3980,3600.0
3981,3600.0
3982,3600.0
3983,3600.0
3984,3600.0
3985,3600.0
3986,3600.0
3987,3600.0
3988,3600.0
3989,3600.0
3990,3600.0
3991,3600.0
3992,3600.0
3993,3600.0
3994,3600.0
3995,3600.0
3996,3600.0
3997,3600.0
3998,3600.0
3999,3600.0
4000,3600.0
4001,3600.0
4002,3600.0
4003,3600.0
4004,3600.0
4005,3600.0
4006,3600.0
4007,3660.0
4008,3540.0
4009,3600.0
4010,3600.0
4011,3720.0
4012,3480.0
4013,3600.0
4014,3600.0
4015,3600.0
4016,3600.0
4017,3600.0
4018,3600.0
4019,3660.0
4020,3540.0
4021,3600.0
4022,3600.0
4023,3600.0
4024,3600.0
4025,11040.0
4026,3360.0
4027,3600.0
4028,3600.0
4029,3600.0
4030,7440.0
4031,3360.0
4032,7320.0
4033,3480.0
4034,3600.0
4035,3600.0
4036,3600.0
4037,3600.0
4038,3600.0
4039,3600.0
4040,3600.0
4041,7200.0
4042,3720.0
4043,3480.0
4044,3600.0
4045,3600.0
4046,3600.0
4047,3780.0
4048,3420.0
4049,3600.0
4050,3600.0
4051,3600.0
4052,3600.0
4053,3600.0
4054,3600.0
4055,3600.0
4056,3600.0
4057,3600.0
4058,3600.0
4059,3600.0
4060,3600.0
4061,3600.0
4062,3600.0
4063,3600.0
4064,3600.0
4065,3600.0
4066,3600.0
4067,3600.0
4068,3600.0
4069,3600.0
4070,3600.0
4071,3600.0
4072,3600.0
4073,3600.0
4074,3600.0
4075,3600.0
4076,3600.0
4077,3600.0
4078,3600.0
4079,3600.0
4080,3600.0
4081,3600.0
4082,3600.0
4083,3600.0
4084,3600.0
4085,7200.0
4086,3600.0
4087,3600.0
4088,3600.0
4089,3600.0
4090,3600.0
4091,3600.0
4092,3600.0
4093,3600.0
4094,3600.0
4095,3600.0
4096,3660.0
4097,3540.0
4098,3600.0
4099,3600.0
4100,3600.0
4101,3600.0
4102,3600.0
4103,3600.0
4104,3600.0
4105,3600.0
4106,3600.0
4107,3600.0
4108,3660.0
4109,3540.0
4110,3600.0
4111,3600.0
4112,3600.0
4113,3600.0
4114,3600.0
4115,3600.0
4116,3600.0
4117,3600.0
4118,3600.0
4119,3600.0
4120,3600.0
4121,3600.0
4122,3600.0
4123,3600.0
4124,3600.0
4125,3840.0
4126,3360.0
4127,3600.0
4128,3600.0
4129,3600.0
4130,3660.0
4131,3540.0
4132,3600.0
4133,3600.0
4134,3600.0
4135,3600.0
4136,3600.0
4137,3600.0
4138,3660.0
4139,3600.0
